t,x,y,z,xd,yd,zd,qw,qx,qy,qz,p,q,r
2.81,0.84059,0.8406,0.84047,0.32925,0.32927,0.32913,0.91278,-0.0084515,0.022097,-0.40777,-0.0020285,-0.037038,0.32805
2.82,0.84387,0.84388,0.84374,0.32606,0.32608,0.32593,0.91211,-0.0084806,0.022282,-0.40926,-0.0020998,-0.036179,0.32487
2.83,0.84712,0.84712,0.84699,0.32284,0.32286,0.32272,0.91144,-0.008508,0.022463,-0.41073,-0.0021633,-0.035299,0.32166
2.84,0.85033,0.85033,0.8502,0.31961,0.31962,0.31948,0.91078,-0.0085336,0.02264,-0.41219,-0.0022194,-0.03441,0.31844
2.85,0.85351,0.85351,0.85338,0.31635,0.31637,0.31622,0.91012,-0.0085575,0.022812,-0.41363,-0.0022681,-0.033512,0.31519
2.86,0.85666,0.85666,0.85652,0.31307,0.31308,0.31294,0.90947,-0.0085797,0.022981,-0.41505,-0.0023082,-0.032584,0.31192
2.87,0.85977,0.85978,0.85963,0.30976,0.30978,0.30963,0.90882,-0.0086001,0.023145,-0.41646,-0.002342,-0.031668,0.30862
2.88,0.86285,0.86286,0.86271,0.30644,0.30646,0.30631,0.90818,-0.0086189,0.023305,-0.41785,-0.0023679,-0.030738,0.30531
2.89,0.8659,0.86591,0.86576,0.3031,0.30311,0.30296,0.90754,-0.0086359,0.02346,-0.41923,-0.0023851,-0.029777,0.30198
2.9,0.86891,0.86892,0.86877,0.29974,0.29975,0.2996,0.9069,-0.0086512,0.023611,-0.42059,-0.0023956,-0.028821,0.29862
2.91,0.87189,0.8719,0.87175,0.29635,0.29637,0.29622,0.90627,-0.0086649,0.023758,-0.42193,-0.0023981,-0.027849,0.29525
2.92,0.87484,0.87485,0.8747,0.29296,0.29297,0.29282,0.90565,-0.0086768,0.023899,-0.42326,-0.0023927,-0.026863,0.29186
2.93,0.87775,0.87776,0.87761,0.28954,0.28955,0.2894,0.90503,-0.0086871,0.024036,-0.42457,-0.0023798,-0.025868,0.28845
2.94,0.88063,0.88064,0.88049,0.28611,0.28612,0.28597,0.90442,-0.0086958,0.024169,-0.42587,-0.0023594,-0.024865,0.28502
2.95,0.88347,0.88348,0.88333,0.28266,0.28267,0.28252,0.90381,-0.0087028,0.024296,-0.42715,-0.0023312,-0.02385,0.28158
2.96,0.88628,0.88629,0.88614,0.27919,0.2792,0.27905,0.90321,-0.0087082,0.024418,-0.42841,-0.0022943,-0.022809,0.27812
2.97,0.88906,0.88907,0.88891,0.27571,0.27572,0.27557,0.90262,-0.0087119,0.024536,-0.42966,-0.00225,-0.021763,0.27465
2.98,0.8918,0.89181,0.89165,0.27222,0.27223,0.27208,0.90203,-0.008714,0.024648,-0.43089,-0.0021993,-0.020721,0.27116
2.99,0.8945,0.89451,0.89435,0.26871,0.26872,0.26857,0.90144,-0.0087145,0.024756,-0.4321,-0.0021392,-0.019647,0.26766
3,0.89717,0.89718,0.89702,0.26519,0.2652,0.26505,0.90086,-0.0087134,0.024858,-0.4333,-0.0020729,-0.01858,0.26414
3.01,0.89981,0.89981,0.89965,0.26166,0.26167,0.26152,0.90029,-0.0087106,0.024955,-0.43448,-0.0019979,-0.01749,0.26061
3.02,0.9024,0.90241,0.90225,0.25811,0.25812,0.25797,0.89973,-0.0087063,0.025047,-0.43564,-0.0019156,-0.016391,0.25707
3.03,0.90497,0.90498,0.90481,0.25456,0.25457,0.25442,0.89917,-0.0087004,0.025133,-0.43679,-0.0018259,-0.015285,0.25352
3.04,0.9075,0.9075,0.90734,0.25099,0.251,0.25086,0.89862,-0.008693,0.025214,-0.43792,-0.001729,-0.014172,0.24996
3.05,0.90999,0.91,0.90983,0.24742,0.24743,0.24728,0.89807,-0.0086839,0.02529,-0.43904,-0.0016239,-0.013039,0.24639
3.06,0.91244,0.91245,0.91228,0.24384,0.24385,0.2437,0.89753,-0.0086733,0.02536,-0.44013,-0.0015111,-0.011894,0.24282
3.07,0.91486,0.91487,0.9147,0.24025,0.24026,0.24011,0.897,-0.0086611,0.025425,-0.44121,-0.0013914,-0.010744,0.23923
3.08,0.91725,0.91726,0.91709,0.23665,0.23666,0.23652,0.89647,-0.0086474,0.025483,-0.44228,-0.0012643,-0.0095823,0.23563
3.09,0.9196,0.91961,0.91943,0.23305,0.23306,0.23292,0.89596,-0.0086321,0.025536,-0.44332,-0.0011303,-0.0084144,0.23203
3.1,0.92191,0.92192,0.92174,0.22944,0.22945,0.22931,0.89544,-0.0086153,0.025584,-0.44436,-0.00098848,-0.0072311,0.22843
3.11,0.92419,0.9242,0.92402,0.22583,0.22583,0.2257,0.89494,-0.008597,0.025625,-0.44537,-0.0008393,-0.0060357,0.22482
3.12,0.92643,0.92644,0.92626,0.22221,0.22222,0.22208,0.89444,-0.0085771,0.025661,-0.44637,-0.00068321,-0.0048322,0.2212
3.13,0.92863,0.92864,0.92846,0.21859,0.2186,0.21846,0.89395,-0.0085557,0.02569,-0.44735,-0.00052014,-0.0036194,0.21758
3.14,0.9308,0.93081,0.93063,0.21497,0.21497,0.21484,0.89347,-0.0085327,0.025714,-0.44831,-0.00034989,-0.0023949,0.21396
3.15,0.93293,0.93294,0.93276,0.21134,0.21135,0.21122,0.89299,-0.0085083,0.025732,-0.44926,-0.00017274,-0.0011605,0.21034
3.16,0.93502,0.93504,0.93485,0.20772,0.20772,0.2076,0.89252,-0.0084823,0.025743,-0.45019,1.1331e-05,8.4467e-05,0.20672
3.17,0.93708,0.93709,0.93691,0.20409,0.2041,0.20397,0.89206,-0.0084548,0.025748,-0.4511,0.00020209,0.0013386,0.20309
3.18,0.93911,0.93912,0.93893,0.20047,0.20047,0.20035,0.89161,-0.0084258,0.025747,-0.452,0.00039964,0.0026034,0.19947
3.19,0.94109,0.9411,0.94092,0.19684,0.19685,0.19673,0.89116,-0.0083952,0.02574,-0.45288,0.00060383,0.0038783,0.19585
3.2,0.94304,0.94305,0.94287,0.19322,0.19323,0.19311,0.89072,-0.0083632,0.025726,-0.45375,0.00081442,0.0051618,0.19223
3.21,0.94496,0.94497,0.94478,0.18961,0.18961,0.1895,0.89029,-0.0083296,0.025706,-0.4546,0.0010315,0.0064558,0.18861
3.22,0.94684,0.94685,0.94666,0.186,0.186,0.18589,0.88986,-0.0082945,0.02568,-0.45543,0.0012552,0.0077616,0.185
3.23,0.94868,0.94869,0.9485,0.18239,0.18239,0.18229,0.88945,-0.0082579,0.025647,-0.45624,0.0014851,0.0090761,0.1814
3.24,0.95048,0.95049,0.9503,0.17879,0.17879,0.17869,0.88904,-0.0082198,0.025607,-0.45704,0.0017205,0.010395,0.1778
3.25,0.95225,0.95226,0.95207,0.17519,0.17519,0.1751,0.88864,-0.0081802,0.025561,-0.45782,0.0019623,0.011726,0.1742
3.26,0.95399,0.954,0.9538,0.1716,0.17161,0.17151,0.88824,-0.008139,0.025508,-0.45859,0.0022111,0.013075,0.17062
3.27,0.95569,0.9557,0.9555,0.16803,0.16803,0.16794,0.88786,-0.0080963,0.025449,-0.45934,0.0024641,0.01442,0.16704
3.28,0.95735,0.95736,0.95716,0.16446,0.16446,0.16437,0.88748,-0.0080521,0.025383,-0.46008,0.0027236,0.015781,0.16347
3.29,0.95897,0.95899,0.95879,0.1609,0.1609,0.16082,0.88711,-0.0080064,0.025309,-0.46079,0.0029897,0.017159,0.15992
3.3,0.96057,0.96058,0.96038,0.15735,0.15735,0.15728,0.88675,-0.0079591,0.025229,-0.4615,0.0032591,0.018527,0.15637
3.31,0.96212,0.96213,0.96193,0.15382,0.15382,0.15375,0.88639,-0.0079103,0.025142,-0.46218,0.0035367,0.019928,0.15284
3.32,0.96364,0.96365,0.96345,0.15029,0.15029,0.15023,0.88605,-0.0078599,0.025049,-0.46285,0.0038182,0.021326,0.14932
3.33,0.96513,0.96514,0.96494,0.14679,0.14679,0.14672,0.88571,-0.007808,0.024948,-0.46351,0.004104,0.022726,0.14582
3.34,0.96658,0.96659,0.96639,0.14329,0.14329,0.14324,0.88538,-0.0077546,0.02484,-0.46415,0.0043959,0.024143,0.14233
3.35,0.96799,0.968,0.9678,0.13982,0.13981,0.13976,0.88505,-0.0076995,0.024724,-0.46477,0.0046919,0.025562,0.13885
3.36,0.96937,0.96939,0.96918,0.13636,0.13635,0.13631,0.88474,-0.0076429,0.024602,-0.46538,0.0049949,0.027009,0.1354
3.37,0.97072,0.97073,0.97053,0.13291,0.13291,0.13287,0.88443,-0.0075847,0.024473,-0.46597,0.0053011,0.028451,0.13196
3.38,0.97203,0.97204,0.97184,0.12949,0.12949,0.12945,0.88413,-0.007525,0.024336,-0.46655,0.0056118,0.029902,0.12854
3.39,0.97331,0.97332,0.97312,0.12608,0.12608,0.12605,0.88383,-0.0074636,0.024192,-0.46711,0.0059255,0.031348,0.12514
3.4,0.97455,0.97457,0.97436,0.1227,0.1227,0.12267,0.88355,-0.0074006,0.02404,-0.46766,0.0062451,0.032817,0.12176
3.41,0.97576,0.97578,0.97557,0.11934,0.11933,0.11932,0.88327,-0.007336,0.023882,-0.46819,0.0065692,0.034296,0.11841
3.42,0.97694,0.97695,0.97675,0.116,0.116,0.11598,0.883,-0.0072698,0.023715,-0.46871,0.0068954,0.035766,0.11507
3.43,0.97808,0.9781,0.97789,0.11268,0.11268,0.11267,0.88274,-0.0072019,0.023542,-0.46921,0.007228,0.037268,0.11177
3.44,0.9792,0.97921,0.979,0.10939,0.10939,0.10939,0.88249,-0.0071324,0.023361,-0.4697,0.0075635,0.038769,0.10848
3.45,0.98027,0.98028,0.98008,0.10613,0.10612,0.10613,0.88224,-0.0070612,0.023172,-0.47018,0.0079008,0.040259,0.10523
3.46,0.98132,0.98133,0.98112,0.10289,0.10288,0.10289,0.882,-0.0069884,0.022975,-0.47064,0.0082443,0.041784,0.102
3.47,0.98233,0.98234,0.98214,0.099678,0.099672,0.099688,0.88177,-0.0069138,0.022771,-0.47108,0.0085912,0.043318,0.098797
3.48,0.98331,0.98332,0.98312,0.096496,0.09649,0.096512,0.88154,-0.0068375,0.02256,-0.47151,0.0089406,0.044852,0.095626
3.49,0.98426,0.98427,0.98407,0.093343,0.093337,0.093365,0.88133,-0.0067596,0.02234,-0.47193,0.0092936,0.046399,0.092486
3.5,0.98518,0.98519,0.98499,0.090221,0.090215,0.09025,0.88112,-0.0066799,0.022113,-0.47233,0.0096477,0.047929,0.089377
3.51,0.98607,0.98608,0.98587,0.087132,0.087125,0.087166,0.88092,-0.0065984,0.021879,-0.47272,0.010006,0.049484,0.0863
3.52,0.98692,0.98693,0.98673,0.084075,0.084068,0.084115,0.88072,-0.0065152,0.021636,-0.4731,0.010366,0.051032,0.083258
3.53,0.98775,0.98776,0.98756,0.081052,0.081045,0.081098,0.88053,-0.0064302,0.021385,-0.47346,0.01073,0.052601,0.08025
3.54,0.98854,0.98855,0.98835,0.078064,0.078057,0.078117,0.88035,-0.0063434,0.021127,-0.47381,0.011097,0.054195,0.077279
3.55,0.98931,0.98932,0.98912,0.075113,0.075105,0.075171,0.88018,-0.0062547,0.02086,-0.47415,0.011465,0.055767,0.074344
3.56,0.99004,0.99005,0.98985,0.072198,0.072191,0.072263,0.88001,-0.0061643,0.020586,-0.47447,0.011838,0.057382,0.071448
3.57,0.99075,0.99076,0.99056,0.069322,0.069314,0.069393,0.87985,-0.006072,0.020304,-0.47478,0.012209,0.058988,0.068592
3.58,0.99143,0.99144,0.99124,0.066485,0.066478,0.066563,0.87969,-0.0059778,0.020014,-0.47508,0.012583,0.060566,0.065775
3.59,0.99208,0.99209,0.99189,0.063689,0.063681,0.063773,0.87955,-0.0058818,0.019715,-0.47537,0.012958,0.062159,0.063001
3.6,0.99271,0.99271,0.99252,0.060935,0.060927,0.061025,0.87941,-0.0057838,0.019409,-0.47564,0.013337,0.063796,0.060269
3.61,0.9933,0.99331,0.99312,0.058223,0.058215,0.05832,0.87927,-0.0056839,0.019094,-0.4759,0.013716,0.065406,0.057581
3.62,0.99387,0.99388,0.99368,0.055556,0.055547,0.055659,0.87914,-0.0055821,0.018772,-0.47615,0.014097,0.067036,0.054938
3.63,0.99441,0.99442,0.99423,0.052933,0.052925,0.053042,0.87902,-0.0054783,0.018441,-0.47639,0.01448,0.068681,0.052341
3.64,0.99493,0.99494,0.99475,0.050357,0.050348,0.050472,0.87891,-0.0053726,0.018102,-0.47662,0.014864,0.07032,0.049792
3.65,0.99542,0.99543,0.99524,0.047828,0.047819,0.047949,0.8788,-0.0052648,0.017755,-0.47684,0.015249,0.071973,0.047291
3.66,0.99589,0.99589,0.99571,0.045347,0.045338,0.045475,0.87869,-0.005155,0.017399,-0.47704,0.015635,0.073625,0.04484
3.67,0.99633,0.99634,0.99615,0.042916,0.042907,0.04305,0.8786,-0.0050432,0.017035,-0.47724,0.016018,0.075251,0.04244
3.68,0.99674,0.99675,0.99657,0.040536,0.040527,0.040677,0.8785,-0.0049293,0.016663,-0.47742,0.016407,0.076921,0.040092
3.69,0.99714,0.99715,0.99696,0.038208,0.038199,0.038355,0.87842,-0.0048133,0.016283,-0.4776,0.016797,0.078614,0.037798
3.7,0.99751,0.99752,0.99733,0.035934,0.035925,0.036086,0.87833,-0.0046953,0.015895,-0.47776,0.017187,0.080307,0.035558
3.71,0.99786,0.99786,0.99768,0.033713,0.033704,0.033872,0.87826,-0.0045751,0.015498,-0.47791,0.017573,0.081951,0.033373
3.72,0.99818,0.99819,0.99801,0.031549,0.03154,0.031713,0.87819,-0.0044527,0.015092,-0.47806,0.017963,0.083637,0.031246
3.73,0.99849,0.9985,0.99832,0.029441,0.029432,0.029611,0.87812,-0.0043283,0.014679,-0.4782,0.018352,0.085323,0.029177
3.74,0.99877,0.99878,0.9986,0.027391,0.027382,0.027567,0.87806,-0.0042016,0.014257,-0.47832,0.018741,0.087006,0.027168
3.75,0.99904,0.99904,0.99887,0.025401,0.025392,0.025582,0.878,-0.0040727,0.013826,-0.47844,0.019133,0.088724,0.025219
3.76,0.99928,0.99929,0.99912,0.023471,0.023462,0.023657,0.87795,-0.0039416,0.013387,-0.47855,0.019519,0.090388,0.023332
3.77,0.99951,0.99951,0.99934,0.021603,0.021594,0.021795,0.8779,-0.0038083,0.01294,-0.47865,0.019911,0.092112,0.021508
3.78,0.99971,0.99972,0.99955,0.019797,0.019788,0.019995,0.87786,-0.0036727,0.012484,-0.47874,0.020305,0.093855,0.019749
3.79,0.9999,0.99991,0.99974,0.018056,0.018047,0.018259,0.87782,-0.0035349,0.01202,-0.47883,0.020693,0.095554,0.018055
3.8,1.0001,1.0001,0.99992,0.016381,0.016372,0.016588,0.87778,-0.0033947,0.011547,-0.47891,0.021082,0.097265,0.016429
3.81,1.0002,1.0002,1.0001,0.014772,0.014763,0.014984,0.87775,-0.0032522,0.011066,-0.47898,0.021466,0.098942,0.01487
3.82,1.0004,1.0004,1.0002,0.013232,0.013223,0.013448,0.87772,-0.0031075,0.010576,-0.47905,0.021859,0.10071,0.013382
3.83,1.0005,1.0005,1.0003,0.011761,0.011752,0.011981,0.8777,-0.0029603,0.010077,-0.4791,0.022248,0.10243,0.011964
3.84,1.0006,1.0006,1.0005,0.01036,0.010351,0.010585,0.87767,-0.0028108,0.0095706,-0.47916,0.022631,0.10412,0.010618
3.85,1.0007,1.0007,1.0006,0.0090313,0.0090224,0.0092599,0.87765,-0.0026589,0.0090552,-0.4792,0.023024,0.1059,0.0093453
3.86,1.0008,1.0008,1.0006,0.0077758,0.007767,0.0080081,0.87764,-0.0025046,0.0085313,-0.47924,0.023405,0.10758,0.0081477
3.87,1.0009,1.0009,1.0007,0.0065948,0.0065861,0.0068306,0.87762,-0.002348,0.0079989,-0.47928,0.023798,0.10937,0.0070261
3.88,1.0009,1.0009,1.0008,0.0054897,0.0054811,0.0057287,0.87761,-0.0021888,0.0074578,-0.47931,0.024177,0.11105,0.0059818
3.89,1.001,1.001,1.0008,0.0044618,0.0044532,0.0047037,0.8776,-0.0020273,0.0069082,-0.47934,0.024569,0.11284,0.0050163
